step,kf_reg,h_cv,h_build,h_neutral,h_dissolve,h_total,avg_cos_b,avg_cos_d,h_build_ids,h_dissolve_ids,l_cv,l_build,l_neutral,l_dissolve,l_total,l_avg_cos_b,l_avg_cos_d
50,1,6.937509e-04,7,0,5,12,0.000001,-0.000001,0;1;2;3;4;7;9,5;6;8;10;11,6.596561e-04,7,0,5,12,0.000003,-0.000003
100,2,2.105569e-03,6,0,6,12,0.000002,-0.000003,1;3;5;6;8;11,0;2;4;7;9;10,1.636770e-03,6,0,6,12,0.000006,-0.000047
150,3,2.782016e-03,9,0,3,12,0.000001,-0.000000,2;4;5;6;7;8;9;10;11,0;1;3,3.305844e-03,8,0,4,12,0.000046,-0.000003
200,4,4.752385e-03,4,0,8,12,0.000001,-0.000001,2;4;5;11,0;1;3;6;7;8;9;10,6.510790e-03,8,0,4,12,0.000038,-0.000001
250,5,4.862013e-03,7,0,5,12,0.000001,-0.000002,0;1;3;5;7;9;10,2;4;6;8;11,8.141307e-03,9,0,3,12,0.000038,-0.000031
300,6,5.231427e-03,6,0,6,12,0.000001,-0.000002,2;4;5;7;8;11,0;1;3;6;9;10,1.168341e-02,5,0,7,12,0.000015,-0.000003
350,7,7.160706e-03,7,0,5,12,0.000001,-0.000001,0;3;5;6;7;9;10,1;2;4;8;11,1.142632e-02,5,0,7,12,0.000035,-0.000013
400,8,8.508963e-03,4,0,8,12,0.000001,-0.000002,2;4;9;10,0;1;3;5;6;7;8;11,1.095621e-02,6,0,6,12,0.000003,-0.000088
450,9,6.706323e-03,6,0,6,12,0.000002,-0.000001,3;4;7;9;10;11,0;1;2;5;6;8,1.133571e-02,5,0,7,12,0.000014,-0.000020
500,10,7.641181e-03,4,0,8,12,0.000002,-0.000002,0;3;6;9,1;2;4;5;7;8;10;11,9.483600e-03,6,0,6,12,0.000027,-0.000018
550,11,5.909061e-03,7,0,5,12,0.000004,-0.000002,1;2;6;7;8;9;11,0;3;4;5;10,9.594174e-03,8,0,4,12,0.000017,-0.000006
600,12,6.693592e-03,7,0,5,12,0.000001,-0.000002,0;1;2;3;5;6;8,4;7;9;10;11,1.182432e-02,6,0,6,12,0.000016,-0.000001
650,13,7.801428e-03,8,0,4,12,0.000002,-0.000001,1;2;3;5;6;8;9;11,0;4;7;10,1.322181e-02,6,0,6,12,0.000046,-0.000006
700,14,1.291546e-02,6,0,6,12,0.000001,-0.000004,1;2;3;4;6;7,0;5;8;9;10;11,1.309769e-02,7,0,5,12,0.000016,-0.000045
750,15,1.348710e-02,6,0,6,12,0.000001,-0.000004,2;4;5;6;7;8,0;1;3;9;10;11,1.663212e-02,2,0,10,12,0.000010,-0.000016
800,16,1.537230e-02,3,0,9,12,0.000002,-0.000003,0;1;8,2;3;4;5;6;7;9;10;11,1.277345e-02,7,0,5,12,0.000015,-0.000002
850,17,1.305733e-02,3,0,9,12,0.000001,-0.000003,2;4;7,0;1;3;5;6;8;9;10;11,1.481119e-02,3,0,9,12,0.000003,-0.000009
900,18,9.370364e-03,4,0,8,12,0.000001,-0.000002,2;7;8;11,0;1;3;4;5;6;9;10,1.221915e-02,4,0,8,12,0.000005,-0.000035
950,19,9.159431e-03,9,0,3,12,0.000001,-0.000003,0;1;2;4;5;6;7;8;11,3;9;10,1.239919e-02,6,0,6,12,0.000013,-0.000001
1000,20,1.452943e-02,7,0,5,12,0.000002,-0.000001,3;4;5;6;7;10;11,0;1;2;8;9,1.441320e-02,7,0,5,12,0.000015,-0.000011
1050,21,1.504002e-02,7,0,5,12,0.000003,-0.000001,2;3;4;7;9;10;11,0;1;5;6;8,1.482471e-02,8,0,4,12,0.000021,-0.000003
1100,22,1.569064e-02,10,0,2,12,0.000002,-0.000001,0;1;2;3;5;7;8;9;10;11,4;6,1.647096e-02,3,0,9,12,0.000005,-0.000062
1150,23,2.097638e-02,7,0,5,12,0.000002,-0.000001,0;1;2;3;6;7;11,4;5;8;9;10,1.329129e-02,6,0,6,12,0.000005,-0.000044
1200,24,2.396021e-02,4,0,8,12,0.000003,-0.000001,1;4;7;11,0;2;3;5;6;8;9;10,1.428450e-02,5,0,7,12,0.000005,-0.000010
1250,25,2.295803e-02,6,0,6,12,0.000001,-0.000002,3;5;6;7;9;10,0;1;2;4;8;11,1.558805e-02,6,0,6,12,0.000009,-0.000043
1300,26,2.143838e-02,5,0,7,12,0.000001,-0.000001,0;5;6;8;9,1;2;3;4;7;10;11,1.631120e-02,5,0,7,12,0.000003,-0.000014
1350,27,1.849623e-02,6,0,6,12,0.000001,-0.000002,0;1;3;4;6;11,2;5;7;8;9;10,1.741107e-02,4,0,8,12,0.000051,-0.000009
1400,28,1.919824e-02,8,0,4,12,0.000004,-0.000001,0;2;3;5;7;8;9;11,1;4;6;10,1.636870e-02,7,0,5,12,0.000028,-0.000005
1450,29,2.265595e-02,3,0,9,12,0.000011,-0.000001,1;10;11,0;2;3;4;5;6;7;8;9,1.757855e-02,5,0,7,12,0.000022,-0.000004
1500,30,1.988974e-02,6,0,6,12,0.000001,-0.000002,1;3;4;6;7;9,0;2;5;8;10;11,1.501298e-02,7,0,5,12,0.000013,-0.000000
1550,31,2.009621e-02,8,0,4,12,0.000003,-0.000002,1;4;5;6;7;8;9;11,0;2;3;10,1.626936e-02,5,0,7,12,0.000024,-0.000002
1600,32,2.508400e-02,10,0,2,12,0.000002,-0.000001,1;2;3;4;5;7;8;9;10;11,0;6,1.684225e-02,7,0,5,12,0.000016,-0.000006
